date,total_bgc_profiles,dmqc_bgc_profiles,percent_dmqc,adjusted_doxy_profiles,percent_adjusted,eligible_profiles
2024-03-13,7805,2034,26.439620434160926,1374,17.86039256466918,7693
2024-03-14,7809,2034,26.425880213070027,1374,17.851110822398336,7697
2024-03-15,7814,2034,26.40872500649182,1374,17.83952220202545,7702
2024-03-16,7820,2034,26.38816813700052,1374,17.825635703165542,7708
2024-03-17,7822,2034,26.381322957198442,1374,17.82101167315175,7710
2024-03-18,7831,2034,26.350563544500584,1374,17.80023319082783,7719
2024-03-19,7833,2034,26.34373785779044,1374,17.795622328713897,7721
2024-03-20,7838,2034,26.326689101734402,1374,17.784105617395806,7726
2024-03-21,7846,2034,26.299456943366952,1374,17.765709852598913,7734
2024-03-22,7847,2034,26.296056884292177,1374,17.763413057530705,7735
2024-03-23,7854,2034,26.272281064324464,1374,17.747352105399123,7742
2024-03-24,7858,2034,26.258714175058095,1374,17.738187451587915,7746
2024-03-25,7863,2034,26.24177525480583,1374,17.726744936137273,7751
2024-03-26,7869,2034,26.221477375273945,1374,17.713033389196855,7757
2024-03-27,7872,2034,26.211340206185568,1374,17.70618556701031,7760
2024-03-28,7878,2034,26.191089363893898,1374,17.6925057944888,7766
2024-03-29,7881,2034,26.18097567254473,1374,17.685673831895997,7769
2024-03-30,7889,2034,26.154043975826156,1374,17.66748103381767,7777
2024-03-31,7893,2034,26.140598894743608,1374,17.65839866341087,7781
2024-04-01,7895,2034,26.133881536682512,1374,17.65386097905692,7783
2024-04-02,7903,2034,26.107046592221796,1374,17.6357335386985,7791
2024-04-03,7906,2034,26.09699769053118,1374,17.62894534257121,7794
2024-04-04,7912,2034,26.076923076923077,1374,17.615384615384617,7800
2024-04-05,7918,2034,26.056879323597233,1374,17.60184473481937,7806
2024-04-06,7932,2034,26.010230179028135,1374,17.570332480818415,7820
2024-04-07,7938,2034,25.990288780986454,1374,17.556861742908254,7826
2024-04-08,7941,2034,25.980329544003066,1374,17.550134116745433,7829
2024-04-09,7948,2034,25.957120980091883,1374,17.534456355283307,7836
2024-04-10,7956,2034,25.930647628760838,1374,17.516573176950537,7844
2024-04-11,7959,2034,25.920734038486046,1374,17.509876385879956,7847
